Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,40378,43019,40030,36203,36242,36417
1,2,35148,42161,37097,30869,32147,39354
2,1,42399,41380,40735,34807,43026,37758
1,1,41012,32334,38820,40691,41713,33409
2,1,43782,33701,40202,40970,34467,48369
2,2,33657,49823,34508,43889,35804,36876
3,2,35216,47167,44321,48234,40930,40545
2,2,47194,35523,48634,30825,44031,46829
2,3,36339,32966,33453,37603,38670,36821
1,1,47242,45928,32829,43651,35769,47482
2,3,32504,39591,39359,42193,40524,34197
3,3,42382,37804,33927,45245,31533,45546
1,3,40857,45308,46669,42434,41725,38104
2,3,31767,38384,47986,43466,30284,35058
3,1,38006,44039,34730,42948,37245,32955
1,3,37390,47474,42262,37644,37923,44024
2,1,47205,49402,42182,31055,43490,40790
3,1,31757,30642,36594,41971,40080,42868
3,1,36516,36324,38356,30264,43363,45829
2,1,46009,34649,35932,48213,41368,44399
3,3,33839,46179,47082,45751,47475,45405
2,2,34952,43921,38906,34986,43699,35257
2,1,48036,41622,30763,35193,48725,47564
1,1,33805,49891,30290,30587,40056,31379
2,1,49847,30303,42898,36192,36401,38245
3,3,41273,31054,43531,44420,47746,46459
3,2,49541,47344,36437,39469,41429,47823
1,1,47465,38023,48993,32533,38315,42600
3,2,35873,33097,46526,37638,43539,49570
1,1,49957,37627,39718,32472,45159,45234
2,1,32494,33167,48350,37486,44689,42705
2,3,43375,35137,44595,41588,35482,37721
3,3,32655,49296,38483,42852,35093,44766
1,2,44250,41989,32001,33166,44534,35755
2,1,49283,31513,35896,35129,39764,48441
2,1,40743,39357,47636,44014,44390,33254
1,3,34464,34411,30445,33081,33249,47828
2,1,42385,36185,40677,37850,42218,31562
2,1,37069,48966,34787,42994,33415,30408
2,3,33702,44262,36085,43602,49575,44996
3,2,31222,41493,44874,37166,43909,42394
3,1,33180,38796,44726,32464,46899,37347
2,1,37187,46683,34194,43789,34064,42837
3,3,47471,47051,44261,48788,42971,45793
2,3,38778,34654,49350,40497,48052,41884
1,3,45276,47779,49497,31928,47584,47548
2,2,40953,41060,41474,43296,34018,48135
1,1,30447,37768,39780,35522,36242,36625
1,2,44833,47366,36509,48137,45596,46383
3,1,48896,34306,43199,47812,37702,42578
1,2,49367,36260,48060,48386,39731,35661
2,2,46788,41818,40015,49394,40543,43923
3,2,33371,30136,30455,48764,43055,36089
3,3,44675,40611,43221,36269,35578,37340
2,3,47373,47001,33467,36280,42268,40221
1,2,32354,35672,43762,33551,35748,36210
2,1,30840,35725,30817,41272,36244,44832
2,2,45208,34389,46125,42533,34191,34367
1,2,36185,49209,41315,42915,49242,42532
3,1,32779,34951,44420,40151,37890,36136
2,3,42976,31172,33577,43716,47324,37895
2,2,38674,43061,43727,34059,39835,41519
3,3,41504,34733,32491,48542,30322,39890
1,3,38544,36041,39539,41246,37492,48592
3,3,34121,32175,31277,42331,30463,35570
2,3,35330,42439,43058,30997,37238,49300
1,3,47507,46832,42286,36782,34324,49558
1,3,44727,39524,47365,38052,48772,43933
2,1,44863,37327,35128,34841,46402,42511
1,2,33201,36151,35905,30871,35271,35781
2,1,49453,43866,48928,33742,43497,32710
3,1,34161,37744,33299,40960,42773,42544
1,2,34823,47905,34092,48857,41968,37992
3,3,48194,34256,49550,40446,35412,30959
3,2,45167,35485,46259,31177,48096,30060
3,2,46852,43378,37054,32336,30798,30590
1,2,48418,43860,41605,34643,40036,48920
3,1,44932,40234,42786,46738,30918,35752
1,2,35542,39034,48025,44909,48651,49273
1,2,42677,38973,37969,33441,38392,44733
2,2,39335,30358,30564,34250,39065,36687
2,3,35751,37928,34404,39726,45759,42979
3,3,41812,43699,45136,33636,45656,42732
1,1,44729,41458,38670,35031,31129,45255
2,1,42459,31500,47563,44793,40562,32115
1,3,20657,29057,29073,22276,20854,24507
2,2,22013,20263,29043,21506,22734,29689
3,2,27032,21233,22866,25239,21106,23477
1,2,23558,29625,24829,29096,22917,23751
2,2,28727,29370,24767,26253,25991,24398
1,2,28730,29839,23265,20869,24091,21365
1,3,27059,25762,20286,20038,20060,27302
2,1,26893,27271,29491,20554,28909,25643
3,2,25048,25086,26683,21510,20846,26372
2,2,23976,25654,29222,28650,26018,29351
1,3,21404,25339,22527,25749,20923,20437
3,3,26268,21474,21882,20939,29150,20290
1,3,22673,27522,21353,24339,24860,29499
3,1,20740,29818,23825,25976,23796,25232
1,1,22043,27303,23369,24039,28584,23412
1,2,25070,20946,29492,26994,24319,26150
2,3,26839,26872,23084,28865,22412,27604
2,3,21440,27038,25572,26531,20251,24477
2,2,28880,29644,24383,20517,22995,27700
1,1,24909,29920,27211,26159,28681,22610
2,3,22912,21425,29090,26467,28836,28574
